admin name,plate shortcut
Jelenia Góra,[DJ VJ]
Legnica,[DL VL]
Wałbrzych,[DB VB]
Wrocław,[DW DX VW VX]
Bolesławiecki,[DBL VBL]
Dzierżoniowski,[DDZ VDZ]
Głogowski,[DGL VGL]
Górowski,[DGR VGR]
Jaworski,[DJA VJA]
Karkonoski,[DJE VJE]
Kamiennogórski,[DKA VKA]
Kłodzki,[DKL VKL]
Legnicki,[DLE VLE]
Lubański,[DLB VLB]
Lubiński,[DLU VLU]
Lwówecki,[DLW VLW]
Milicki,[DMI VMI]
Oleśnicki,[DOL VOL]
Oławski,[DOA VOA]
Polkowicki,[DPL VPL]
Strzeliński,[DST VST]
Średzki,[DSR VSR]
Świdnicki,[DSW VSW]
Trzebnicki,[DTR VTR]
Wałbrzyski,[DBA VBA]
Wołowski,[DWL VWL]
Wrocławski,[DW VW]
Ząbkowicki,[DZA VZA]
Zgorzelecki,[DZG VZG]
Złotoryjski,[DZL VZL]
Bydgoszcz,[CB]
Grudziądz,[CG]
Toruń,[CT]
Włocławek,[CW]
Aleksandrowski,[CAL]
Brodnicki,[CBR]
Bydgoski,[CBY]
Chełmiński,[CCH]
Golubsko-dobrzyński,[CGD]
Grudziądzki,[CGR]
Inowrocławski,[CIN]
Lipnowski,[CLI]
Mogileński,[CMG]
Nakielski,[CNA]
Radziejowski,[CRA]
Rypiński,[CRY]
Sępoleński,[CSE]
Świecki,[CSW]
Toruński,[CTR]
Tucholski,[CTU]
Wąbrzeski,[CWA]
Włocławski,[CWL]
Żniński,[CZN]
Biała Podlaska,[LB]
Chełm,[LC]
Lublin,[LU]
Zamość,[LZ]
Bialski,[LBI]
Biłgorajski,[LBL]
Chełmski,[LCH]
Hrubieszowski,[LHR]
Janowski,[LJA]
Krasnostawski,[LKS]
Kraśnicki,[LKR]
Lubartowski,[LLB]
Lubelski,[LUB]
Łęczyński,[LLE]
Łukowski,[LLU]
Opolski,[LOP]
Parczewski,[LPA]
Puławski,[LPU]
Radzyński,[LRA]
Rycki,[LRY]
Świdnicki,[LSW]
Tomaszowski,[LTM]
Włodawski,[LWL]
Zamojski,[LZA]
Gorzów Wielkopolski,[FG]
Zielona Góra,[FZ]
Gorzowski,[FGW]
Krośnieński,[FKR]
Międzyrzecki,[FMI]
Nowosolski,[FNW]
Słubicki,[FSL]
Strzelecko-drezdenecki,[FSD]
Sulęciński,[FSU]
Świebodziński,[FSW]
Wschowski,[FWS]
Zielonogórski,[FZI]
Żagański,[FZG]
Żarski,[FZA]
Łódź,[EL ED]
Piotrków Trybunalski,[EP]
Skierniewice,[ES]
Brzeziński,[EBR]
Bełchatowski,[EBE]
Kutnowski,[EKU]
Łaski,[ELA]
Łęczycki,[ELE]
Łowicki,[ELC]
Łódzki wschodni,[ELW]
Opoczyński,[EOP]
Pabianicki,[EPA]
Pajęczański,[EPJ]
Piotrkowski,[EPI]
Poddębicki,[EPD]
Radomszczański,[ERA]
Rawski,[ERW]
Sieradzki,[ESI]
Skierniewicki,[ESK]
Tomaszowski,[ETM]
Wieluński,[EWI]
Wieruszowski,[EWE]
Zduńskowolski,[EZD]
Zgierski,[EZG]
Kraków,[KR KK JR JK]
Nowy Sącz,[KN JN]
Tarnów,[KT JT]
Bocheński,[KBC KBA JBC JBA]
Brzeski,[KBR JBR]
Chrzanowski,[KCH JCH]
Dąbrowski,[KDA JDA]
Gorlicki,[KGR JGR]
Krakowski,[KRA KRK JRA JRK]
Limanowski,[KLI JLI]
Miechowski,[KMI JMI]
Myślenicki,[KMY JMY]
Nowosądecki,[KNS JNS]
Nowotarski,[KNT JNT]
Olkuski,[KOL JOL]
Oświęcimski,[KOS JOS]
Proszowicki,[KPR JPR]
Suski,[KSU JSU]
Tarnowski,[KTA JTA]
Tatrzański,[KTT JTT]
Wadowicki,[KWA JWA]
Wielicki,[KWI JWI]
Ostrołęka,[WO AO]
Płock,[WP AP]
Radom,[WR AR]
Siedlce,[WS AS]
Białobrzeski,[WBR ABR]
Ciechanowski,[WCI ACI]
Garwoliński,[WG AG]
Gostyniński,[WGS AGS]
Grodziski,[WGM AGM]
Grójecki,[WGR AGR]
Kozienicki,[WKZ AKZ]
Legionowski,[WL AL]
Lipski,[WLI ALI]
Łosicki,[WLS ALS]
Makowski,[WMA AMA]
Miński,[WM AM]
Mławski,[WML AML]
Nowodworski,[WND AND]
Ostrołęcki,[WOS AOS]
Ostrowski,[WOR AOR]
Otwocki,[WOT AOT]
Piaseczyński,[WPI WPA WPW WPX API APA APW APX]
Płocki,[WPL APL]
Płoński,[WPN APN]
Pruszkowski,[WPR WPP WPS APR APP APS]
Przasnyski,[WPZ APZ]
Przysuski,[WPY APY]
Pułtuski,[WPU APU]
Radomski,[WRA ARA]
Siedlecki,[WSI ASI]
Sierpecki,[WSE ASE]
Sochaczewski,[WSC ASC]
Sokołowski,[WSK ASK]
Szydłowiecki,[WSZ ASZ]
Warszawski,[WA WB WD WE WF WH WI WJ WK WN WT WU WW WX WY AA AB AD AE AF AH AI AJ AK AN AT AU AW AX AY]
Warszawski zachodni,[WZ AZ]
Węgrowski,[WWE AWE]
Wołomiński,[WWL WV AWL AV]
Wyszkowski,[WWY AWY]
Zwoleński,[WZW AZW]
Żuromiński,[WZU AZU]
Żyrardowski,[WZY AZY]
Opole,[OP]
Brzeski,[OB]
Głubczycki,[OGL]
Kędzierzyńsko-kozielski,[OK]
Kluczborski,[OKL]
Krapkowicki,[OKR]
Namysłowski,[ONA]
Nyski,[ONY]
Oleski,[OOL]
Opolski,[OPO]
Prudnicki,[OPR]
Strzelecki,[OST]
Krosno,[RK YK]
Przemyśl,[RP YP]
Rzeszów,[RZ YZ]
Tarnobrzeg,[RT YT]
Bieszczadzki,[RBI YBI]
Brzozowski,[RBR YBR]
Dębicki,[RDE YDE]
Jarosławski,[RJA YJA]
Jasielski,[RJS YJS]
Kolbuszowski,[RKL YKL]
Krośnieński,[RKR YKR]
Leski,[RLS YLS]
Leżajski,[RLE YLE]
Lubaczowski,[RLU YLU]
Łańcucki,[RLA YLA]
Mielecki,[RMI YMI]
Niżański,[RNI YNI]
Przemyski,[RPR YPR]
Ropczycko-sędziszowski,[RRS YRS]
Rzeszowski,[RZE RZZ RZR YZE YZZ YZR]
Sanocki,[RSA YSA]
Stalowowolski,[RST YST]
Strzyżowski,[RSR YSR]
Tarnobrzeski,[RTA YTA]
Białystok,[BI]
Łomża,[BL]
Suwałki,[BS]
Augustowski,[BAU]
Białostocki,[BIA BIB]
Bielski,[BBI]
Grajewski,[BGR]
Hajnowski,[BHA]
Kolneński,[BKL]
Łomżyński,[BLM]
Moniecki,[BMN]
Sejneński,[BSE]
Siemiatycki,[BSI]
Sokólski,[BSK]
Suwalski,[BSU]
Wysokomazowiecki,[BWM]
Zambrowski,[BZA]
Gdańsk,[GD XD]
Gdynia,[GA XA]
Słupsk,[GS XS]
Sopot,[GSP XSP]
Bytowski,[GBY XBY]
Chojnicki,[GCH XCH]
Człuchowski,[GCZ XCZ]
Gdański,[GDA XDA]
Kartuski,[GKA GKY GKZ XKA XKY XKZ]
Kościerski,[GKS XKS]
Kwidzyński,[GKW XKW]
Lęborski,[GLE XLE]
Malborski,[GMB XMB]
Nowodworski,[GND XND]
Pucki,[GPU XPU]
Słupski,[GSL XSL]
Starogardzki,[GST XST]
Sztumski,[GSZ XSZ]
Tczewski,[GTC XTC]
Wejherowski,[GWE GWO XWE XWO]
Bielsko-Biała,[SB IB]
Bytom,[SY IY]
Chorzów,[SH IH]
Częstochowa,[SC IC]
Dąbrowa Górnicza,[SD ID]
Gliwice,[SG IG]
Jastrzębie-Zdrój,[SJZ IJZ]
Jaworzno,[SJ IJ]
Katowice,[SK IK]
Mysłowice,[SM IM]
Piekary Śląskie,[SPI IPI]
Ruda Śląska,[SRS SL IRS IL]
Rybnik,[SR IR]
Siemianowice Śląskie,[SI II]
Sosnowiec,[SO IO]
Świętochłowice,[SW IW]
Tychy,[ST IT]
Zabrze,[SZ IZ]
Żory,[SZO IZO]
Będziński,[SBE SE SBN IBE IE IBN]
Bielski,[SBI IBI]
Cieszyński,[SCI SCN ICI ICN]
Częstochowski,[SCZ ICZ]
Gliwicki,[SGL IGL]
Kłobucki,[SKL IKL]
Lubliniecki,[SLU ILU]
Mikołowski,[SMI IMI]
Myszkowski,[SMY IMY]
Pszczyński,[SPS IPS]
Raciborski,[SRC IRC]
Rybnicki,[SRB IRB]
Tarnogórski,[STA ITA]
Bieruńsko-lędziński,[SBL IBL]
Wodzisławski,[SWD SWZ IWD IWZ]
Zawierciański,[SZA IZA]
Żywiecki,[SZY IZY]
Kielce,[TK]
Buski,[TBU]
Jędrzejowski,[TJE]
Kazimierski,[TKA]
Kielecki,[TKI]
Konecki,[TKN]
Opatowski,[TOP]
Ostrowiecki,[TOS]
Pińczowski,[TPI]
Sandomierski,[TSA]
Skarżyski,[TSK]
Starachowicki,[TST]
Staszowski,[TSZ]
Włoszczowski,[TLW]
Elbląg,[NE]
Olsztyn,[NO]
Bartoszycki,[NBA]
Braniewski,[NBR]
Działdowski,[NDZ]
Elbląski NEB Ełcki,[NEL]
Giżycki NGI Iławski,[NIL]
Kętrzyński,[NKE]
Lidzbarski,[NLI]
Mrągowski,[NMR]
Nidzicki,[NNI]
Nowomiejski,[NNM]
Olecki,[NOE]
Gołdapski,[NGO]
Olsztyński,[NOL]
Ostródzki,[NOS]
Piski,[NPI]
Szczycieński,[NSZ]
Węgorzewski,[NWE]
Kalisz,[PK PA MK MA]
Konin,[PKO PN MKO MN]
Leszno,[PL ML]
Poznań,[PO PY MO MY]
Chodzieski,[PCH MCH]
Czarnkowsko-trzcianecki,[PCT MCT]
Gnieźnieński,[PGN MGN]
Gostyński,[PGS MGS]
Grodziski,[PGO MGO]
Jarociński,[PJA MJA]
Kaliski,[PKA MKA]
Kępiński,[PKE MKE]
Kolski,[PKL MKL]
Koniński,[PKN MKN]
Kościański,[PKS MKS]
Krotoszyński,[PKR MKR]
Leszczyński,[PLE MLE]
Międzychodzki,[PMI MMI]
Nowotomyski,[PNT MNT]
Obornicki,[POB MOB]
Ostrowski,[POS MOS]
Ostrzeszowski,[POT MOT]
Pilski,[PP MP]
Pleszewski,[PPL MPL]
Poznański,[POZ PZ MOZ MZ]
Rawicki,[PRA MRA]
Słupecki,[PSL MSL]
Szamotulski,[PSZ MSZ]
Średzki,[PSR MSR]
Śremski,[PSE MSE]
Turecki,[PTU MTU]
Wągrowiecki,[PWA MWA]
Wolsztyński,[PWL MWL]
Wrzesiński,[PW MW]
Złotowski,[PZL MZL]
Koszalin,[ZK]
Szczecin,[ZS ZZ]
Świnoujście,[ZSW]
Białogardzki,[ZBI]
Choszczeński,[ZCH]
Drawski,[ZDR]
Goleniowski,[ZGL]
Gryficki,[ZGY]
Gryfiński,[ZGR]
Kamieński,[ZKA]
Kołobrzeski,[ZKL]
Koszaliński,[ZKO]
Łobeski,[ZLO]
Myśliborski,[ZMY]
Policki,[ZPL]
Pyrzycki,[ZPY]
Sławieński,[ZSL]
Stargardzki,[ZST]
Szczecinecki,[ZSZ]
Świdwiński,[ZSD]
Wałecki,[ZWA]